ISO,Fungicides and Bactericides Human Toxicity freshwater,Insecticides Human Toxicity freshwater,Herbicides Human Toxicity freshwater,Rodenticides Human Toxicity freshwater,,,,,,,,,,,,,,,,,,,,,,
SAU,2.00338E-08,5.55747E-06,3.74864E-05,,,,,,,,,,,,,,,,,,,,,,,
SDN,,,,,,,,,,,,,,,,,,,,,,,,,,
SEN,5.54909E-08,1.5456E-05,5.75918E-05,,,,,,,,,,,,,,,,,,,,,,,
SGP,3.73804E-07,9.62054E-05,0.000219623,,,,,,,,,,,,,,,,,,,,,,,
SLE,5.54909E-08,1.5456E-05,5.75918E-05,,,,,,,,,,,,,,,,,,,,,,,
SLV,2.01721E-07,4.66958E-05,0.000115485,,,,,,,,,,,,,,,,,,,,,,,
SMR,2.73828E-07,7.01687E-05,0.000162051,,,,,,,,,,,,,,,,,,,,,,,
SOM,5.89069E-08,1.6187E-05,5.95907E-05,,,,,,,,,,,,,,,,,,,,,,,
SRB,2.73828E-07,7.01687E-05,0.000162051,,,,,,,,,,,,,,,,,,,,,,,
SSD,,,,,,,,,,,,,,,,,,,,,,,,,,
STP,5.54909E-08,1.5456E-05,5.75918E-05,,,,,,,,,,,,,,,,,,,,,,,
SUR,1.82647E-07,4.40865E-05,0.00011094,,,,,,,,,,,,,,,,,,,,,,,
SVK,2.73828E-07,7.01687E-05,0.000162051,,,,,,,,,,,,,,,,,,,,,,,
SVN,2.73828E-07,7.01687E-05,0.000162051,,,,,,,,,,,,,,,,,,,,,,,
SWE,1.42525E-09,3.28078E-07,2.65416E-05,,,,,,,,,,,,,,,,,,,,,,,
SWZ,6.54973E-08,1.74401E-05,5.96942E-05,,,,,,,,,,,,,,,,,,,,,,,
SYC,5.89069E-08,1.6187E-05,5.95907E-05,,,,,,,,,,,,,,,,,,,,,,,
SYR,2.00338E-08,5.55747E-06,3.74864E-05,,,,,,,,,,,,,,,,,,,,,,,
TCD,5.54909E-08,1.5456E-05,5.75918E-05,,,,,,,,,,,,,,,,,,,,,,,
TGO,5.54909E-08,1.5456E-05,5.75918E-05,,,,,,,,,,,,,,,,,,,,,,,
THA,3.73804E-07,9.62054E-05,0.000219623,,,,,,,,,,,,,,,,,,,,,,,
TJK,2.00338E-08,5.55747E-06,3.74864E-05,,,,,,,,,,,,,,,,,,,,,,,
TKM,2.00338E-08,5.55747E-06,3.74864E-05,,,,,,,,,,,,,,,,,,,,,,,
TTO,2.01721E-07,4.66958E-05,0.000115485,,,,,,,,,,,,,,,,,,,,,,,
TUN,5.89069E-08,1.6187E-05,5.95907E-05,,,,,,,,,,,,,,,,,,,,,,,
TUR,2.00338E-08,5.55747E-06,3.74864E-05,,,,,,,,,,,,,,,,,,,,,,,
