ISO,Fungicides and Bactericides EcoToxicity Sea water,Insecticides Eco Toxicity Sea water,Herbicides Eco Toxicity Sea water,Rodenticides Eco Toxicity Sea water,N Fertiliser (N emission to marine system) Eco Toxicity Sea water,N Fertiliser (N emission to freshwater (river)) Eco Toxicity Sea water
NZL,2501.492511,1539.608412,142.4944758,12.77038446,1.33213E-17,8.15434E-19
OMN,8597.098772,8590.333813,436.2676939,37.03439047,2.18858E-18,5.787E-20
PAK,14117.79049,15087.33128,676.3924012,61.62178546,2.15987E-18,1.52662E-17
PAN,20227.91497,24527.5843,1001.642375,88.78916962,0,2.47342E-18
PER,47220.67066,50740.91104,2365.825063,226.903574,0,4.9596E-18
PHL,32152.00794,31852.57793,1617.485013,141.505064,1.6579E-18,4.63346E-17
PNG,3186.371211,2374.090932,173.0181115,20.18889117,8.53076E-18,0
POL,5766.31111,6322.837147,290.2756207,24.53881482,1.06004E-17,1.26351E-16
PRK,14117.79049,15087.33128,676.3924012,61.62178546,1.35342E-17,1.50133E-16
PRT,5766.31111,6322.837147,290.2756207,24.53881482,1.06004E-17,4.89358E-19
PRY,47220.67066,50740.91104,2365.825063,226.903574,8.05378E-19,1.12876E-17
QAT,8597.098772,8590.333813,436.2676939,37.03439047,6.0027E-18,0
ROU,5766.31111,6322.837147,290.2756207,24.53881482,0,1.27002E-17
RUS,5766.31111,6322.837147,290.2756207,24.53881482,7.27195E-18,5.37644E-18
RWA,18403.23843,33003.44487,899.2325478,74.15144088,6.0027E-18,0
SAU,8597.098772,8590.333813,436.2676939,37.03439047,5.25348E-17,3.28099E-19
SDN,,,,,6.0027E-18,5.54045E-22
SEN,6157.016929,11091.16197,300.9365992,24.75593366,1.35342E-17,8.33705E-17
SGP,32152.00794,31852.57793,1617.485013,141.505064,1.35342E-17,4.78799E-19
SLE,6157.016929,11091.16197,300.9365992,24.75593366,6.59008E-18,0
SLV,20227.91497,24527.5843,1001.642375,88.78916962,1.35342E-17,5.42769E-19
SMR,5766.31111,6322.837147,290.2756207,24.53881482,1.06004E-17,5.37644E-18
SOM,18403.23843,33003.44487,899.2325478,74.15144088,6.0027E-18,7.87422E-21
SRB,5766.31111,6322.837147,290.2756207,24.53881482,0,7.08445E-18
SSD,,,,,0,2.52112E-18
STP,6157.016929,11091.16197,300.9365992,24.75593366,0,2.52112E-18
SUR,47220.67066,50740.91104,2365.825063,226.903574,0,3.25443E-20
SVK,5766.31111,6322.837147,290.2756207,24.53881482,1.06004E-17,1.46528E-18
SVN,5766.31111,6322.837147,290.2756207,24.53881482,5.25348E-17,4.7089E-15
SWE,2866.678353,3274.10327,142.790184,11.90268843,1.35342E-17,5.35357E-15
SWZ,9914.499828,17629.03383,484.3890755,40.14601417,7.55432E-18,2.52112E-18
SYC,18403.23843,33003.44487,899.2325478,74.15144088,6.0027E-18,2.52112E-18
SYR,8597.098772,8590.333813,436.2676939,37.03439047,6.0027E-18,1.39248E-18
TCD,6157.016929,11091.16197,300.9365992,24.75593366,1.42752E-18,8.18535E-22
TGO,6157.016929,11091.16197,300.9365992,24.75593366,6.0027E-18,2.74315E-18
THA,32152.00794,31852.57793,1617.485013,141.505064,1.02616E-18,1.77731E-18
TJK,8597.098772,8590.333813,436.2676939,37.03439047,1.06004E-17,5.37644E-18
TKM,8597.098772,8590.333813,436.2676939,37.03439047,1.06004E-17,5.37644E-18
TTO,20227.91497,24527.5843,1001.642375,88.78916962,3.02773E-18,1.39752E-19
TUN,18403.23843,33003.44487,899.2325478,74.15144088,0,3.49019E-19
TUR,8597.098772,8590.333813,436.2676939,37.03439047,8.05378E-19,6.63548E-16
TZA,18403.23843,33003.44487,899.2325478,74.15144088,0,2.52112E-18
UGA,18403.23843,33003.44487,899.2325478,74.15144088,8.98325E-19,0
UKR,5766.31111,6322.837147,290.2756207,24.53881482,0,3.19809E-17
URY,47220.67066,50740.91104,2365.825063,226.903574,3.51859E-18,7.93723E-19
USA,7148.357383,8864.342775,354.2392518,29.89116104,0,5.95776E-19
UZB,8597.098772,8590.333813,436.2676939,37.03439047,1.35342E-17,5.37644E-18
VEN,47220.67066,50740.91104,2365.825063,226.903574,1.04775E-18,5.73961E-18
VNM,32152.00794,31852.57793,1617.485013,141.505064,1.34274E-17,3.99464E-19
VUT,3186.371211,2374.090932,173.0181115,20.18889117,1.40355E-18,4.78799E-19
WSM,2501.492511,1539.608412,142.4944758,12.77038446,0,4.78799E-19
YEM,8597.098772,8590.333813,436.2676939,37.03439047,0,6.65238E-19
ZAF,9914.499828,17629.03383,484.3890755,40.14601417,0,1.17134E-17
ZMB,18403.23843,33003.44487,899.2325478,74.15144088,7.35809E-18,3.70529E-20
ZWE,18403.23843,33003.44487,899.2325478,74.15144088,1.83151E-18,3.77354E-20
